date,browser,os_version,visits
2023-10-21,Chrome,10,21807
2023-10-21,Chrome,11,15011
2023-10-21,Edge,10,6503
2023-10-21,Edge,11,6350
2023-10-21,Firefox,10,2712
2023-10-21,Chrome,7,981
2023-10-21,Opera,10,386
2023-10-21,Chrome,8.1,381
2023-10-21,Firefox,7,118
2023-10-20,Chrome,10,78606
2023-10-20,Edge,10,35242
2023-10-20,Chrome,11,31372
2023-10-20,Edge,11,12826
2023-10-20,Firefox,10,5419
2023-10-20,Chrome,7,1356
2023-10-20,Chrome,8.1,602
2023-10-20,Opera,10,482
2023-10-20,Firefox,7,210
2023-10-20,Internet Explorer,10,202
2023-10-19,Chrome,10,90053
2023-10-19,Edge,10,39174
2023-10-19,Chrome,11,36217
2023-10-19,Edge,11,15495
2023-10-19,Firefox,10,5971
2023-10-19,Chrome,7,1715
2023-10-19,Chrome,8.1,692
2023-10-19,Opera,10,543
2023-10-19,Internet Explorer,10,210
2023-10-19,Firefox,7,198
2023-10-18,Chrome,10,90367
2023-10-18,Edge,10,40875
2023-10-18,Chrome,11,37148
2023-10-18,Edge,11,15209
2023-10-18,Firefox,10,5999
2023-10-18,Chrome,7,1797
2023-10-18,Chrome,8.1,686
2023-10-18,Opera,10,610
2023-10-18,Internet Explorer,10,212
2023-10-18,Firefox,7,209
2023-10-17,Chrome,10,94453
2023-10-17,Edge,10,42436
2023-10-17,Chrome,11,38370
2023-10-17,Edge,11,15960
2023-10-17,Firefox,10,6490
2023-10-17,Chrome,7,1732
2023-10-17,Chrome,8.1,703
2023-10-17,Opera,10,584
2023-10-17,Internet Explorer,10,227
2023-10-17,Firefox,7,212
2023-10-16,Chrome,10,98410
2023-10-16,Edge,10,43098
2023-10-16,Chrome,11,38757
2023-10-16,Edge,11,15700
2023-10-16,Firefox,10,6552
2023-10-16,Chrome,7,1848
2023-10-16,Chrome,8.1,687
2023-10-16,Opera,10,557
2023-10-16,Firefox,7,236
2023-10-16,Internet Explorer,10,231
2023-10-16,Edge,7,112
2023-10-15,Chrome,10,25157
2023-10-15,Chrome,11,20194
2023-10-15,Edge,11,8253
2023-10-15,Edge,10,7660
2023-10-15,Firefox,10,3178
2023-10-15,Chrome,7,1142
2023-10-15,Opera,10,519
2023-10-15,Chrome,8.1,412
2023-10-15,Firefox,7,138
2023-10-14,Chrome,10,21149
2023-10-14,Chrome,11,15345
2023-10-14,Edge,10,6516
2023-10-14,Edge,11,6381
2023-10-14,Firefox,10,2700
2023-10-14,Chrome,7,1052
2023-10-14,Opera,10,406
2023-10-14,Chrome,8.1,356
2023-10-14,Firefox,7,153
2023-10-13,Chrome,10,83202
2023-10-13,Edge,10,34467
2023-10-13,Chrome,11,30462
2023-10-13,Edge,11,12162
2023-10-13,Firefox,10,5540
2023-10-13,Chrome,7,1597
2023-10-13,Chrome,8.1,686
2023-10-13,Opera,10,451
2023-10-13,Firefox,7,202
2023-10-13,Internet Explorer,10,186
2023-10-12,Chrome,10,106050
2023-10-12,Edge,10,39835
2023-10-12,Chrome,11,36455
2023-10-12,Edge,11,14677
2023-10-12,Firefox,10,6240
2023-10-12,Chrome,7,1878
2023-10-12,Chrome,8.1,835
2023-10-12,Opera,10,551
2023-10-12,Firefox,7,236
2023-10-12,Internet Explorer,10,207
2023-10-11,Chrome,10,95232
2023-10-11,Edge,10,39711
